Genre,Kenmerk,Gemiddelde,Aantal
goth,tempo,124.267599,1000
goth,valence,0.443546,1000
grindcore,danceability,0.2718537,1000
grindcore,energy,0.924201,1000
grindcore,tempo,119.22991499999999,1000
grindcore,valence,0.2164336,1000
groove,danceability,0.5839099999999999,1000
groove,energy,0.7636218,1000
groove,tempo,123.739211,1000
groove,valence,0.42647250000000003,1000
grunge,danceability,0.457062,1000
grunge,energy,0.80329,1000
grunge,tempo,129.349208,1000
grunge,valence,0.400373,1000
guitar,danceability,0.5400374,1000
guitar,energy,0.3249991859,1000
guitar,tempo,112.00023900000001,1000
guitar,valence,0.4322858,1000
happy,danceability,0.552847,1000
happy,energy,0.910971,1000
happy,tempo,152.908962,1000
happy,valence,0.32746749999999997,1000
hard-rock,danceability,0.48225,1000
hard-rock,energy,0.7950389999999999,1000
hard-rock,tempo,125.381797,1000
hard-rock,valence,0.5143641,1000
hardcore,danceability,0.546411,1000
hardcore,energy,0.842453,1000
hardcore,tempo,125.376114,1000
hardcore,valence,0.4962738,1000
hardstyle,danceability,0.5392290000000001,1000
hardstyle,energy,0.901246,1000
hardstyle,tempo,146.83745199999998,1000
hardstyle,valence,0.3118884,1000
heavy-metal,danceability,0.42849970000000004,1000
heavy-metal,energy,0.8740030000000001,1000
heavy-metal,tempo,126.61390700000001,1000
heavy-metal,valence,0.3882028,1000
hip-hop,danceability,0.736154,1000
hip-hop,energy,0.68253,1000
hip-hop,tempo,116.769582,1000
hip-hop,valence,0.5512478,1000
honky-tonk,danceability,0.5712229999999999,1000
honky-tonk,energy,0.36695690000000003,1000
honky-tonk,tempo,116.556879,1000
honky-tonk,valence,0.631621,1000
house,danceability,0.668534,1000
house,energy,0.755083,1000
house,tempo,121.106951,1000
house,valence,0.4946745,1000
idm,danceability,0.5278375,1000
idm,energy,0.5553989500000001,1000
idm,tempo,123.29737700000001,1000
idm,valence,0.3025475,1000
indian,danceability,0.592273,1000
indian,energy,0.567121,1000
indian,tempo,116.142954,1000
indian,valence,0.463024,1000
indie,danceability,0.587272,1000
indie,energy,0.5561919000000001,1000
indie,tempo,119.093452,1000
indie,valence,0.4679571,1000
indie-pop,danceability,0.60437,1000
indie-pop,energy,0.5611395,1000
indie-pop,tempo,120.17900900000001,1000
indie-pop,valence,0.4606154,1000
industrial,danceability,0.530416,1000
industrial,energy,0.8617453,1000
industrial,tempo,126.831205,1000
industrial,valence,0.4248738,1000
iranian,danceability,0.30068599999999995,1000
iranian,energy,0.5458459026000001,1000
iranian,tempo,114.769364,1000
iranian,valence,0.15353640000000002,1000
j-dance,danceability,0.680557,1000
j-dance,energy,0.7037546,1000
j-dance,tempo,114.915894,1000
j-dance,valence,0.5643654,1000
j-idol,danceability,0.548819,1000
j-idol,energy,0.8686773,1000
j-idol,tempo,136.11200399999998,1000
j-idol,valence,0.5775307000000001,1000
j-pop,danceability,0.551678,1000
j-pop,energy,0.6796042,1000
j-pop,tempo,124.61311500000001,1000
j-pop,valence,0.5415591,1000
j-rock,danceability,0.509069,1000
j-rock,energy,0.7606839999999999,1000
j-rock,tempo,128.52244199999998,1000
j-rock,valence,0.5377491999999999,1000
jazz,danceability,0.5099750000000001,1000
jazz,energy,0.35295443,1000
jazz,tempo,112.63646899999999,1000
jazz,valence,0.490289,1000
k-pop,danceability,0.6478788788788788,999
k-pop,energy,0.6757467467467467,999
k-pop,tempo,119.2248028028028,999
k-pop,valence,0.5567379379379379,999
kids,danceability,0.778906,1000
kids,energy,0.6131286,1000
kids,tempo,121.750705,1000
kids,valence,0.6808638,1000
latin,danceability,0.721902,1000
latin,energy,0.7270800000000001,1000
latin,tempo,119.812273,1000
latin,valence,0.631149,1000
latino,danceability,0.757057,1000
latino,energy,0.7317965000000001,1000
latino,tempo,119.385197,1000
latino,valence,0.6302008,1000
malay,danceability,0.628617,1000
malay,energy,0.5783966,1000
malay,tempo,119.314765,1000
malay,valence,0.5015049,1000
mandopop,danceability,0.546532,1000
mandopop,energy,0.4984339,1000
mandopop,tempo,123.47590600000001,1000
mandopop,valence,0.35016430000000004,1000
metal,danceability,0.46428800000000003,1000
metal,energy,0.840273,1000
metal,tempo,127.907465,1000
metal,valence,0.4179356,1000
metalcore,danceability,0.4238,1000
metalcore,energy,0.914485,1000
metalcore,tempo,130.580195,1000
metalcore,valence,0.31490179999999995,1000
minimal-techno,danceability,0.729395,1000
minimal-techno,energy,0.6802720000000001,1000
minimal-techno,tempo,124.74797,1000
minimal-techno,valence,0.2836202,1000
mpb,danceability,0.5740879999999999,1000
mpb,energy,0.5797871706,1000
mpb,tempo,120.16105499999999,1000
mpb,valence,0.5564338,1000
new-age,danceability,0.3484546,1000
new-age,energy,0.21450062,1000
new-age,tempo,107.958746,1000
new-age,valence,0.1831672,1000
opera,danceability,0.31356310000000004,1000
opera,energy,0.31705399999999995,1000
opera,tempo,105.584558,1000
opera,valence,0.2152252,1000
pagode,danceability,0.577723,1000
pagode,energy,0.7121230000000001,1000
pagode,tempo,126.859308,1000
pagode,valence,0.687978,1000
party,danceability,0.667191,1000
party,energy,0.8712369999999999,1000
party,tempo,131.30032200000002,1000
party,valence,0.6812349000000001,1000
piano,danceability,0.4550983,1000
piano,energy,0.32010256400000003,1000
